Pos,Team,Avg Pos,Avg NRR,Avg Pts,1st,2nd,3rd,4th,Make SF,Make Final,Win World Cup
1,India,1.2152,0.9998178101305961,16.2498,0.8242,0.1423,0.0289,0.0036,0.999,0.7728,0.5854
2,South Africa,2.5892,0.7338739326601094,13.102,0.1121,0.4515,0.2605,0.1131,0.9372,0.4536,0.1517
3,New Zealand,2.9554,0.5746318223690554,12.7084,0.0603,0.3057,0.376,0.1665,0.9085,0.3991,0.1267
4,Pakistan,4.7608,-0.01934779325402933,10.272,0.002,0.0553,0.1364,0.2475,0.4412,0.1263,0.0378
5,Australia,4.847,-0.11041440535399454,10.486,0.0009,0.0364,0.1362,0.2532,0.4267,0.1722,0.0712
6,England,5.4247,0.054825413251257206,8.6678,0.0005,0.0082,0.0562,0.1845,0.2494,0.0711,0.0263
7,Bangladesh,7.4286,-0.3445474486674417,6.3754,0.0,0.0003,0.0033,0.0147,0.0183,0.0028,0.0004
8,Sri Lanka,7.7489,-0.3659371461840556,5.7026,0.0,0.0,0.0018,0.0119,0.0137,0.0018,0.0005
9,Afghanistan,8.0817,-0.4476763973788057,5.4972,0.0,0.0003,0.0007,0.005,0.006,0.0003,0.0
10,Netherlands,9.9485,-1.045432452947653,0.9388,0.0,0.0,0.0,0.0,0.0,0.0,0.0
