Ground Name,City,Country,Batting First Elo Boost,Adj 1st Innings Score,Adj 2nd Innings Score,Matches Completed,Batting First Wins,Batting Second Wins,Batting First Win %,Batting Second Win %
Sharjah Cricket Association Stadium,Sharjah,United Arab Emirates,8.928077327108669,229.44481661868127,214.95325267311642,201,110,91,0.5472636815920398,0.4527363184079602
Harare Sports Club,Harare,Zimbabwe,3.0208133878559362,240.42730490001273,231.97815640111438,177,84,93,0.4745762711864407,0.5254237288135594
Sydney Cricket Ground,Sydney,Australia,8.763641180637318,244.21699731617144,225.89362045267075,153,91,62,0.5947712418300654,0.40522875816993464
Melbourne Cricket Ground,Melbourne,Australia,2.226497295450878,233.1671204604486,215.86795823211182,146,72,74,0.4931506849315068,0.5068493150684932
R Premadasa Stadium,Colombo,Sri Lanka,8.973764684309943,256.08967101138916,231.84511681390902,127,74,53,0.5826771653543307,0.41732283464566927
Shere Bangla National Stadium,Dhaka,Bangladesh,-1.3158627852059577,236.11248089178702,233.41805825835488,118,56,62,0.4745762711864407,0.5254237288135594
Queens Sports Club,Bulawayo,Zimbabwe,-1.8837958602072589,247.60700545002945,243.53892751104436,87,38,49,0.4367816091954023,0.5632183908045977
Adelaide Oval,Adelaide,Australia,4.9349644367091985,239.78701388874578,231.6416114269686,85,46,39,0.5411764705882353,0.4588235294117647
Western Australia Cricket Association Ground,Perth,Australia,2.9017554441649795,231.86377092678998,224.09300799390164,80,40,40,0.5,0.5
Eden Park,Auckland,New Zealand,-4.1521827778039295,233.78833237789567,238.74644742437735,76,31,45,0.40789473684210525,0.5921052631578947
Kennington Oval,London,England,0.6376499827816189,263.3664534020164,253.14187361239684,73,31,42,0.4246575342465753,0.5753424657534246
Brisbane Cricket Ground,Brisbane,Australia,0.9759102903660444,235.12414120123637,236.14209284359887,73,34,39,0.4657534246575342,0.5342465753424658
Lord's,London,England,4.132217531457943,245.85629384271436,236.64019346972597,68,33,35,0.4852941176470588,0.5147058823529411
Queen's Park Oval,Port of Spain,West Indies,2.6788011987063727,263.23390129528843,227.82597648031086,67,32,35,0.47761194029850745,0.5223880597014925
Gaddafi Stadium,Lahore,Pakistan,1.1301800550718581,272.9813522340971,252.15696371395572,66,34,32,0.5151515151515151,0.48484848484848486
Gymkhana Club Ground,Nairobi,Kenya,1.4121277784669979,220.9417421046612,224.29505159702776,61,26,35,0.4262295081967213,0.5737704918032787
Edgbaston,Birmingham,England,-0.353828567508733,244.53770734810982,239.86171577798663,58,26,32,0.4482758620689655,0.5517241379310345
Old Trafford,Manchester,England,2.743145389765323,238.97779513147657,232.10496409691507,56,27,29,0.48214285714285715,0.5178571428571429
Sinhalese Sports Club Ground,Colombo,Sri Lanka,-1.1121972923984937,228.55260272431806,237.805426654913,54,23,31,0.42592592592592593,0.5740740740740741
Rangiri Dambulla International Stadium,Dambulla,Sri Lanka,-1.398909034909964,227.2813971620054,235.08680528742616,52,23,29,0.4423076923076923,0.5576923076923077
National Stadium,Karachi,Pakistan,1.1459728298267133,279.6617406461205,246.0287865675518,52,26,26,0.5,0.5
Dubai International Cricket Stadium,Dubai,United Arab Emirates,0.03736707215884022,217.03831740839627,215.08414141864301,52,21,31,0.40384615384615385,0.5961538461538461
Sheikh Zayed Stadium,Abu Dhabi,United Arab Emirates,6.193954615450125,250.57775117860973,217.1564639763838,50,32,18,0.64,0.36
Trent Bridge,Nottingham,England,-0.9057120812167306,261.7377122987716,260.1844305582829,49,22,27,0.4489795918367347,0.5510204081632653
New Wanderers Stadium,Johannesburg,South Africa,-0.9053456522721908,258.69972821979,254.84384207759527,49,20,29,0.40816326530612246,0.5918367346938775
Sharjah Cricket Stadium,Sharjah,United Arab Emirates,1.1788864070173042,236.10938704249347,229.60076893806223,46,20,26,0.43478260869565216,0.5652173913043478
Bangabandhu National Stadium,Dhaka,Bangladesh,4.700833421415671,252.8039305011423,217.32438403194206,46,28,18,0.6086956521739131,0.391304347826087
Kensington Oval,Bridgetown,West Indies,-1.1075251444264405,237.2848131114681,252.45928636225807,46,19,27,0.41304347826086957,0.5869565217391305
SuperSport Park,Centurion,South Africa,-1.383176841772249,268.5878697096183,270.1526304980273,45,19,26,0.4222222222222222,0.5777777777777777
Newlands,Cape Town,South Africa,4.151368587692083,248.5732678155518,222.55098160672452,44,29,15,0.6590909090909091,0.3409090909090909
McLean Park,Napier,New Zealand,-0.5563716872503591,258.9823466848178,248.0830746486945,43,17,26,0.3953488372093023,0.6046511627906976
Headingley,Leeds,England,0.27482204842862745,243.64526241082905,255.78394399647576,43,17,26,0.3953488372093023,0.6046511627906976
Sabina Park,Kingston,West Indies,-2.493997224801461,245.34786281052732,237.74466434123443,40,15,25,0.375,0.625
Kingsmead,Durban,South Africa,3.9774226348527093,266.2612445869957,223.23277680736493,40,21,19,0.525,0.475
Bellerive Oval,Hobart,Australia,0.6899167908322277,253.4184434400356,244.26840923719433,36,21,15,0.5833333333333334,0.4166666666666667
Pallekele International Cricket Stadium,Kandy,Sri Lanka,0.5503621701274342,276.4814551125501,268.6069507814989,34,14,20,0.4117647058823529,0.5882352941176471
Eden Gardens,Kolkata,India,5.353083377882053,260.05337820719916,228.365594129791,32,19,13,0.59375,0.40625
Civil Service Cricket Club,Belfast,Ireland,0.6346850668091641,225.2052931686967,225.16241844833783,30,15,15,0.5,0.5
The Rose Bowl,Southampton,England,1.241678599209802,272.94405838577427,272.3389070057452,30,15,15,0.5,0.5
Toronto Cricket,Toronto,Canada,1.940583695565458,231.96580979435834,205.61954499088415,29,17,12,0.5862068965517241,0.41379310344827586
Lancaster Park,Christchurch,New Zealand,0.8218563732667802,215.9710723333712,212.65517280771354,28,14,14,0.5,0.5
St George's Park,Gqeberha,South Africa,1.0000111248140457,239.35153306669807,236.7533479788133,27,13,14,0.48148148148148145,0.5185185185185185
Basin Reserve,Wellington,New Zealand,0.4799628215090056,233.2072302673931,213.25736079837867,27,16,11,0.5925925925925926,0.4074074074074074
Sophia Gardens,Cardiff,England,-4.561397525310278,256.509645763182,277.29262900847493,27,8,19,0.2962962962962963,0.7037037037037037
VRA Ground,Amstelveen,Netherlands,1.4634936142192096,263.9834493912475,243.01831112342467,26,14,12,0.5384615384615384,0.46153846153846156
Rawalpindi Cricket Stadium,Rawalpindi,Pakistan,0.551363047562893,245.5434306885904,249.2548201605382,26,11,15,0.4230769230769231,0.5769230769230769
Wankhede Stadium,Mumbai,India,1.8744858154746709,273.2569196784378,237.53644721399328,26,14,12,0.5384615384615384,0.46153846153846156
MA Chidambaram Stadium,Chennai,India,0.4379962125592633,249.926870237017,255.41284543962283,25,13,12,0.52,0.48
Tribhuvan University International Cricket Ground,Kirtipur,Nepal,-0.24179191469677386,227.39403247415822,263.8265350303849,25,10,15,0.4,0.6
M Chinnaswamy Stadium,Bengaluru,India,-0.9244923973670295,292.9442012056503,294.3524128618898,24,11,13,0.4583333333333333,0.5416666666666666
Feroz Shah Kotla,Delhi,India,0.5807846795450389,241.02993567041273,223.96715551116054,24,12,12,0.5,0.5
Seddon Park,Hamilton,New Zealand,-1.4034792672010226,269.61218543513286,276.578030717607,24,8,16,0.3333333333333333,0.6666666666666666
Providence Stadium,Providence,West Indies,2.0228151805388026,220.61444781972122,224.9885717337459,24,13,11,0.5416666666666666,0.4583333333333333
Westpac Stadium,Wellington,New Zealand,-0.5332947620533259,249.7858378274818,262.89554757782327,24,14,10,0.5833333333333334,0.4166666666666667
Beausejour Stadium,Gros Islet,West Indies,-0.7156544604659144,259.5773510518923,258.4695792890524,24,9,15,0.375,0.625
Zahur Ahmed Chowdhury Stadium,Chattogram,Bangladesh,-1.2918343152572214,237.74518052483717,225.62426341108107,23,9,14,0.391304347826087,0.6086956521739131
Punjab Cricket Association Stadium,Chandigarh,India,2.3050581583001333,268.27923644885846,246.05755075551502,23,14,9,0.6086956521739131,0.391304347826087
Mahinda Rajapaksa International Cricket Stadium,Hambantota,Sri Lanka,-0.7788440346859556,284.45454500428417,277.97455637506783,23,10,13,0.43478260869565216,0.5652173913043478
Buffalo Park,East London,South Africa,0.5221117177727701,238.12271193111778,229.87245210019952,23,11,12,0.4782608695652174,0.5217391304347826
Arnos Vale Ground,Kingstown,West Indies,0.3412461316320444,207.69465023236074,194.58828697733338,23,11,12,0.4782608695652174,0.5217391304347826
ICC Academy,Dubai,United Arab Emirates,2.194261108290221,250.91014409495872,228.11204254663045,22,12,10,0.5454545454545454,0.45454545454545453
Mannofield Park,Aberdeen,Scotland,0.11672971493088903,241.89378294167798,226.44201454230722,22,9,13,0.4090909090909091,0.5909090909090909
Willowmoore Park,Benoni,South Africa,-1.3775086405921486,248.3676804245814,248.19028197900175,21,7,14,0.3333333333333333,0.6666666666666666
Clontarf Cricket Club Ground,Dublin,Ireland,-1.102299478990124,228.46127980507282,232.35656934160426,21,8,13,0.38095238095238093,0.6190476190476191
Sir Vivian Richards Stadium,North Sound,West Indies,0.5777465960942021,246.86745921135991,239.56186693401426,20,10,10,0.5,0.5
Carisbrook,Dunedin,New Zealand,-0.6490194857262223,232.24092156599716,212.16058817682918,20,8,12,0.4,0.6
Sawai Mansingh Stadium,Jaipur,India,0.18277871426466946,251.39977647774455,261.15037566530873,19,7,12,0.3684210526315789,0.631578947368421
Barabati Stadium,Cuttack,India,0.6113428443577954,260.3283482544997,252.794132259846,19,7,12,0.3684210526315789,0.631578947368421
Grange Cricket Club Ground,Edinburgh,Scotland,0.14105813239589257,288.11880618865763,253.72378724349508,19,11,8,0.5789473684210527,0.42105263157894735
Riverside Ground,Chester-le-Street,England,-0.5063877679789153,264.471609860764,265.51230645111843,19,8,11,0.42105263157894735,0.5789473684210527
Warner Park,Basseterre,West Indies,1.3082221408992898,289.37980779486344,242.8676634304429,18,13,5,0.7222222222222222,0.2777777777777778
Sardar Patel Stadium,Ahmedabad,India,-0.47206773596733653,256.86314313670096,252.56710309408595,17,7,10,0.4117647058823529,0.5882352941176471
Wanderers Cricket Ground,Windhoek,Namibia,2.4389462882664787,233.65972556308577,219.47051875254897,17,11,6,0.6470588235294118,0.35294117647058826
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Oman,-2.3179317716833916,210.89897968393586,235.02763123662916,17,5,12,0.29411764705882354,0.7058823529411765
The Village,Dublin,Ireland,-0.20407121681742843,303.42098023480355,283.4857707298998,16,6,10,0.375,0.625
Iqbal Stadium,Faisalabad,Pakistan,-0.378981883887681,243.0178817696041,234.39076279422088,16,8,8,0.5,0.5
National Cricket Stadium,St George's,West Indies,-0.3423042327540609,255.5897891309798,245.4516522828862,16,6,10,0.375,0.625
Jade Stadium,Christchurch,New Zealand,-0.16895647979287706,252.05344160579193,254.32685285059526,15,7,8,0.4666666666666667,0.5333333333333333
Arbab Niaz Stadium,Peshawar,Pakistan,0.5323268221766876,245.7651053700803,237.1566156450001,15,6,9,0.4,0.6
Hazelaarweg,Rotterdam,Netherlands,-0.8593302381354886,206.4001968606683,223.8979005972882,15,6,9,0.4,0.6
Green Park,Kanpur,India,0.397226295822486,258.3475164436739,276.96805545766523,15,7,8,0.4666666666666667,0.5333333333333333
Hagley Oval,Christchurch,New Zealand,1.0061085130178495,270.0751139941051,297.5028164022481,15,8,7,0.5333333333333333,0.4666666666666667
Nehru Stadium,Guwahati,India,0.3380633745801219,238.77766900575685,216.30852035595925,14,7,7,0.5,0.5
Vidarbha Cricket Association Ground,Nagpur,India,1.1058311419880507,294.07933800679996,269.85694834215957,14,9,5,0.6428571428571429,0.35714285714285715
Crusaders Ground,Gqeberha,South Africa,0.5207249077983018,224.34740068310708,198.7384811147003,14,7,7,0.5,0.5
Lal Bahadur Shastri Stadium,Hyderabad,India,0.4689744475997835,256.83438470834875,219.28177954184017,13,7,6,0.5384615384615384,0.46153846153846156
Goodyear Park,Bloemfontein,South Africa,-0.7427477228614915,220.9362775733698,274.982925990985,13,3,10,0.23076923076923078,0.7692307692307693
Captain Roop Singh Stadium,Gwalior,India,1.1206703512216842,276.2563180662924,245.6822768405583,12,8,4,0.6666666666666666,0.3333333333333333
Moosa Cricket Stadium,Pearland,United States of America,0.4586752130844287,235.15612041011,229.78933166667903,12,6,6,0.5,0.5
De Beers Diamond Oval,Kimberley,South Africa,-0.290648885916871,242.09279665513478,260.93065064550706,12,3,9,0.25,0.75
Mombasa Sports Club Ground,Mombasa,Kenya,2.0843811938303864,262.8882080867281,201.45591537572022,12,8,4,0.6666666666666666,0.3333333333333333
United Cricket Club Ground,Windhoek,Namibia,0.1325873234342391,248.10042543700246,241.48382779677556,12,7,5,0.5833333333333334,0.4166666666666667
Bay Oval,Mount Maunganui,New Zealand,-0.34177478427584185,277.66682111731853,278.4122136876581,11,5,6,0.45454545454545453,0.5454545454545454
Multan Cricket Stadium,Multan,Pakistan,-1.1286520663576023,266.28915774421375,222.81515714805815,11,6,5,0.5454545454545454,0.45454545454545453
University Oval,Dunedin,New Zealand,0.5264538871679183,250.70738980842364,240.40608855523783,11,5,6,0.45454545454545453,0.5454545454545454
County Ground,Bristol,England,0.9093473483529182,251.87250514174954,275.85814847328857,11,6,5,0.5454545454545454,0.45454545454545453
National Stadium,Dhaka,Bangladesh,-2.523346214685634,225.9837044974789,269.7250630825783,11,2,9,0.18181818181818182,0.8181818181818182
Antigua Recreation Ground,St John's,West Indies,-0.5914456048758451,219.34486238393745,230.870618724185,11,4,7,0.36363636363636365,0.6363636363636364
Nehru Stadium,Pune,India,-0.16629508788512198,235.79691071241004,239.65185593922033,11,2,9,0.18181818181818182,0.8181818181818182
Bourda,Georgetown,West Indies,-0.21871015228148866,254.3585986282168,245.13243949791033,11,3,8,0.2727272727272727,0.7272727272727273
Manuka Oval,Canberra,Australia,1.7093263811362633,342.53999490591946,272.816991094603,10,8,2,0.8,0.2
Khettarama Stadium,Colombo,Sri Lanka,0.6626230300986913,222.90059051118033,194.71762891746835,10,6,4,0.6,0.4
Saxton Oval,Nelson,New Zealand,-1.5408404910379725,291.5257763214692,282.35069747979225,10,3,7,0.3,0.7
Maharashtra Cricket Association Stadium,Pune,India,0.7814514602916971,299.8733984084356,278.6048905828451,10,5,5,0.5,0.5
Centurion Park,Centurion,South Africa,-0.35181675168106563,237.0707759312221,242.54042295749753,10,4,6,0.4,0.6
Senwes Park,Potchefstroom,South Africa,-1.330256199378461,247.92183460053946,301.1361772921018,10,2,8,0.2,0.8
Maple Leaf North-West Ground,King City,Canada,-0.9298901253292253,191.54295896646119,278.8496232382224,10,4,6,0.4,0.6
