Rank,Team,Rating,Bat First Elo Adj
1,India,2065.5778860504547,1.9325150713834978
2,Australia,1987.8648651217845,15.779240037081221
3,New Zealand,1973.5026730472182,-7.616582747387711
4,South Africa,1957.253008003819,20.795019631277324
5,England,1946.4397844987616,-5.0056873584041535
6,Pakistan,1883.0414518261416,21.565885329136307
7,Bangladesh,1755.4392914086864,2.7385703946108375
8,Sri Lanka,1749.2605388526756,9.6355315870048
9,West Indies,1656.6636748865699,-4.107878434284977
10,Afghanistan,1641.3289366469967,9.676049118613381
11,Ireland,1485.4282763030915,-2.6067303741886585
12,Zimbabwe,1438.9055174053183,8.885701379534616
13,Scotland,1438.4747733584263,-10.614289844002323
14,Netherlands,1385.4087661832225,-12.189396673026103
15,Nepal,1342.6649644490078,-4.330819323613189
16,Namibia,1330.5565972124352,5.577651998658747
17,Jersey,1307.7876732388713,1.2147316692589962
18,United States of America,1291.5200427841398,4.60588759000451
19,Hong Kong,1269.6909243669013,4.0632689194575455
20,Kenya,1268.4991004847664,2.2528299518773633
21,Oman,1266.7457793652936,0.9248061861662566
22,Canada,1218.6883672359127,-0.8869320844058184
23,United Arab Emirates,1214.1914323993185,3.4331505444956347
24,Bermuda,1158.7111555009765,-2.878703691725064
25,Papua New Guinea,1097.1140535874995,2.863213182526912
26,East Africa,1084.2404657817056,0.028469978974332052
